timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789057767347,53,/,200,OK,Thread Group 1-1,text,true,,2434,352,1,1,http://103.94.135.91:8080/,53,0,17
1789057767401,386,/notices,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 386 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,386,0,0
1789057767789,315,/courses-39,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 315 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,304,0,0
1789057768107,172,/login,200,OK,Thread Group 1-1,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,61,0,0
1789057768107,62,/login-0,303,See Other,Thread Group 1-1,text,true,,514,522,1,1,http://103.94.135.91:8080/login,61,0,0
1789057768175,104,/login-1,200,OK,Thread Group 1-1,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,94,0,0
1789057768280,31,/api/download/256-56,200,OK,Thread Group 1-1,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,8,0,0
1789057769320,34,/,200,OK,Thread Group 1-2,text,true,,2434,352,1,1,http://103.94.135.91:8080/,34,0,10
1789057769355,209,/notices,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 209 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,208,0,0
1789057769565,382,/courses-39,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 382 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,371,0,0
1789057769948,76,/login,200,OK,Thread Group 1-2,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,31,0,0
1789057769948,31,/login-0,303,See Other,Thread Group 1-2,text,true,,514,522,1,1,http://103.94.135.91:8080/login,31,0,0
1789057769980,44,/login-1,200,OK,Thread Group 1-2,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,33,0,0
1789057770030,343,/api/download/256-56,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 343 milliseconds, but should not have lasted longer than 200 milliseconds.",262423,516,1,1,http://103.94.135.91:8080/api/download/256,8,0,0
1789057771320,19,/,200,OK,Thread Group 1-3,text,true,,2434,352,1,1,http://103.94.135.91:8080/,19,0,10
1789057771340,153,/notices,200,OK,Thread Group 1-3,text,true,,7518,396,1,1,http://103.94.135.91:8080/notices,151,0,0
1789057771494,195,/courses-39,200,OK,Thread Group 1-3,text,true,,44407,403,1,1,http://103.94.135.91:8080/courses,187,0,0
1789057771689,66,/login,200,OK,Thread Group 1-3,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,31,0,0
1789057771689,31,/login-0,303,See Other,Thread Group 1-3,text,true,,514,522,1,1,http://103.94.135.91:8080/login,31,0,0
1789057771721,34,/login-1,200,OK,Thread Group 1-3,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,24,0,0
1789057771756,29,/api/download/256-56,200,OK,Thread Group 1-3,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
1789057773320,21,/,200,OK,Thread Group 1-4,text,true,,2434,352,1,1,http://103.94.135.91:8080/,21,0,11
1789057773342,384,/notices,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 384 milliseconds, but should not have lasted longer than 200 milliseconds.",7518,396,1,1,http://103.94.135.91:8080/notices,384,0,0
1789057773728,317,/courses-39,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 317 milliseconds, but should not have lasted longer than 200 milliseconds.",44407,403,1,1,http://103.94.135.91:8080/courses,306,0,0
1789057774046,105,/login,200,OK,Thread Group 1-4,text,true,,109538,1075,1,1,http://103.94.135.91:8080/dashboard,56,0,0
1789057774046,56,/login-0,303,See Other,Thread Group 1-4,text,true,,514,522,1,1,http://103.94.135.91:8080/login,56,0,0
1789057774104,47,/login-1,200,OK,Thread Group 1-4,text,true,,109024,553,1,1,http://103.94.135.91:8080/dashboard,38,0,0
1789057774153,31,/api/download/256-56,200,OK,Thread Group 1-4,text,true,,262423,516,1,1,http://103.94.135.91:8080/api/download/256,7,0,0
